M,S,G,Q1,Q2,Q3,Q4
10000,33500,460,918600,8300,76,538046
8000,32000,560,981000,7600,50,557614
5000,43500,290,31600,8000,66,1119115
35000,81000,278,685300,7900,101,1416697
16000,24500,901,2657500,7600,81,58666
32000,50500,657,2671700,6900,98,428382
2000,10000,944,2301100,6000,81,62984
11000,29000,1713,1797300,5900,69,641442
5000,15000,756,1411600,6900,112,414785
2000,7500,71,1080000,4700,10,42767
6000,25500,1421,538300,5100,78,508995
3000,10000,1475,2657500,6900,71,17619
2000,20500,202,2054000,4300,53,1698
5000,18000,896,456200,6500,54,37635
8000,25000,104,1684000,6900,45,216645
19000,38500,173,1467500,7000,58,670326
2000,10500,243,281900,6100,42,77366
19000,51000,781,918600,8800,99,332670
2000,7500,1161,981000,7100,35,149470
23000,44500,1080,890700,6400,96,746269
2000,9000,154,1864300,4600,3,38595
2000,9000,140,2657500,5700,13,13798
19000,74000,228,1804500,8800,62,28203
5000,22000,758,2175300,7100,58,327817
3000,13000,690,1231000,8000,79,143718
53000,95500,151,356000,7900,61,652377
19000,36000,964,850500,7200,61,606019
2000,7500,256,4308600,6900,39,73049
103000,161000,881,1804500,7200,105,856200
121000,176000,119,1588000,8200,101,743429
108000,278500,381,1332300,8400,63,1649272
16000,106000,328,918600,8500,63,2053329
27000,57000,119,655100,8200,50,743429
5000,13500,175,396300,5200,21,308925
31000,52500,580,2492900,7800,106,343410
3000,23000,330,192800,7900,53,58806
15000,47000,486,1263700,6500,79,529465
10000,18500,638,192800,6700,66,503559
5000,18000,207,1080000,6900,29,396498
21000,117000,232,3518300,8600,92,1172663
65000,112500,138,950000,8100,44,438659
87000,167000,375,3570700,7300,100,872255
18000,63000,680,4355300,6400,39,1759054
23000,54000,1695,2671700,8500,84,169907
6000,59000,270,31600,7600,40,1951543
2000,9000,151,3792300,5300,10,176797
3000,16000,950,1864300,6300,73,35887
2000,16000,330,1139100,6100,70,215765
3000,10000,532,2175300,7600,63,4538
2000,9000,629,3311300,4700,55,13632
2000,10500,130,2215700,4000,7,98168
2000,7500,84,301200,7300,6,119498
2000,9000,119,1298400,6800,30,2727
13000,30000,312,784400,7600,51,384726
2000,7500,252,2525600,6200,89,1564
10000,30000,284,4308600,6000,42,55669
24000,104000,210,1463400,9000,82,802286
3000,11500,182,1332300,4300,48,108948
18000,69000,226,52200,8300,110,870647
2000,16000,159,1618300,5600,60,331563
3000,18500,1391,456200,6500,18,642619
58000,116000,449,379300,8400,144,1173440
18000,79500,357,805400,7800,43,697011
8000,26500,937,994700,7700,90,75621
11000,117000,547,31600,8600,121,1399606
50000,90000,74,1210500,8900,44,907439
10000,28500,602,1842000,8600,95,395580
3000,15500,189,421100,7900,72,58648
5000,25500,228,52200,7500,87,1575180
31000,46500,263,2671700,8000,85,233416
6000,55500,516,1139100,7300,49,788296
3000,8500,167,2454000,6400,26,150368
2000,7500,256,2671700,6800,35,73049
11000,26500,1085,1175400,7800,77,466603
8000,21000,917,235200,8000,67,275695
10000,44000,833,281900,8300,90,372875
2000,17500,166,918600,5300,6,1275
6000,21500,789,1411600,8600,96,248407
15000,59000,1093,97600,8500,134,420774
2000,9000,241,2344300,7100,65,18386
2000,10500,430,2657500,5000,71,50584
3000,8500,670,1545800,7500,46,8412
2000,10000,203,3792300,5200,41,769
3000,8500,677,2671700,7800,76,14
2000,9000,908,2301100,4400,5,334360
2000,7500,424,2301100,4400,12,25831
3000,8500,1197,1797300,2900,37,233505
6000,24500,764,890700,5800,61,575483
2000,16000,298,1080000,7200,60,47363
16000,42500,560,1999100,7700,88,557614
2000,9000,331,1175400,7100,56,111812
3000,13000,866,3518300,8300,64,14306
2000,2500,918,5212900,6300,40,53952
2000,7500,262,320800,5500,10,384334
